"table","rows","incoming_fk","outgoing_fk","code_refs"
"activity_log","3","0","1","15"
"admin_credentials","0","0","1","1"
"admin_meetings","0","0","1","1"
"admin_notes","0","0","1","1"
"admin_todos","0","0","1","1"
"assignments","0","0","4","51"
"chat_messages","0","0","3","8"
"chat_message_history","0","0","0","2"
"clients","1","1","1","23"
"common_issues","0","0","2","1"
"daily_hours_compliance","1","0","1","2"
"devices","1","3","0","8"
"device_assignments","0","0","3","1"
"device_rotation_history","0","0","4","3"
"device_switch_requests","0","0","4","1"
"env_status_master","6","0","0","2"
"feedbacks","0","1","3","6"
"feedback_recipients","0","0","2","5"
"generic_task_categories","4","2","0","7"
"grouped_urls","0","0","2","16"
"hours_reminder_settings","1","0","0","2"
"issues","0","5","8","52"
"issue_active_editors","0","0","0","1"
"issue_comments","0","1","5","6"
"issue_comment_history","0","0","0","1"
"issue_default_templates","1","0","0","2"
"issue_drafts","0","0","2","2"
"issue_history","0","0","1","4"
"issue_metadata","0","0","1","10"
"issue_metadata_fields","8","0","0","5"
"issue_pages","0","0","2","4"
"issue_presence_sessions","0","0","0","1"
"issue_presets","158","0","0","5"
"issue_priorities","1","1","0","1"
"issue_statuses","6","3","0","10"
"issue_status_master","8","0","0","2"
"issue_templates","1","0","2","3"
"issue_types","6","1","0","0"
"notifications","0","0","1","15"
"page_environments","0","0","6","28"
"page_qa_status_master","5","0","0","1"
"page_testing_status_master","6","0","0","1"
"phase_master","12","1","0","3"
"projects","1","14","4","94"
"project_assets","0","0","2","6"
"project_pages","1","9","0","53"
"project_permissions","0","0","3","21"
"project_permissions_types","0","0","0","3"
"project_phases","4","1","2","17"
"project_statuses","7","0","0","2"
"project_time_logs","1","0","6","21"
"project_time_log_history","0","0","0","3"
"qa_results","0","0","2","13"
"qa_status_master","21","1","0","12"
"qa_status_permissions","0","0","0","3"
"regression_tasks","0","0","0","1"
"status_options","0","0","0","2"
"testing_environments","2","4","0","20"
"testing_results","0","0","3","20"
"username_change_history","3","0","0","1"
"users","7","49","0","84"
"user_assignments","0","0","4","38"
"user_calendar_notes","0","0","1","5"
"user_daily_status","2","0","1","7"
"user_edit_requests","5","0","1","7"
"user_generic_tasks","0","0","2","6"
"user_pending_changes","1","0","1","4"
"user_pending_log_deletions","3","0","0","3"
"user_pending_log_edits","1","0","0","3"
"user_qa_performance","0","0","3","2"
"user_sessions","110","0","0","4"
"wcag_sc","6","0","0","1"
